%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionNative
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -512.0147433336824, -597.263892873656, -398.78740222519264, -407.5163287217729, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994931918E9, 0.0, 2025-02-21 12:03:14.931
1.0, -504.33298882469535, -588.411549678538, -381.07523603504524, -382.75445111515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74016099493281E9, 0.0, 2025-02-21 12:03:14.932
1.0, -521.0952204260975, -603.22155350307, -400.2459632079117, -413.20097665442154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994932843E9, 0.0, 2025-02-21 12:03:14.932
2.0, -512.1905186315998, -600.3044315376319, -395.4701109644957, -404.9544972521253, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994962364E9, 0.0, 2025-02-21 12:03:14.962
2.0, -521.0241623269394, -607.1222691568546, -386.77484356751665, -398.37227333011106, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994962394E9, 0.0, 2025-02-21 12:03:14.962
3.0, -507.6876790849492, -594.5375058059581, -403.8026080657728, -414.4650628394447, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994963608E9, 0.0, 2025-02-21 12:03:14.963
3.0, -516.2520499834791, -603.9620536942966, -386.65890666889027, -386.2362979738973, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994963623E9, 0.0, 2025-02-21 12:03:14.963
4.0, -516.2483100835234, -609.541984428186, -386.10540147544816, -395.1970982677303, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994965079E9, 0.0, 2025-02-21 12:03:14.965
4.0, -507.8335351832211, -595.8876096899621, -395.81792166037485, -398.8808997240849, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994965106E9, 0.0, 2025-02-21 12:03:14.965
5.0, -509.7670634603128, -594.9862938006409, -378.73405866278335, -375.3419694029726, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994965132E9, 0.0, 2025-02-21 12:03:14.965
5.0, -510.5038237515837, -601.7293334207498, -403.7689489661716, -397.9421848352067, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994965143E9, 0.0, 2025-02-21 12:03:14.965
6.0, -506.1393605032936, -593.7970056147315, -388.0912883519195, -385.00213098851964, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994993542E9, 0.0, 2025-02-21 12:03:14.993
6.0, -500.574389369227, -593.8418844141997, -371.9685796429403, -365.65936841769144, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994993572E9, 0.0, 2025-02-21 12:03:14.993
7.0, -513.92583221104, -599.2460398501717, -405.82963384175673, -411.446963575203, -0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740160994993599E9, 0.0, 2025-02-21 12:03:14.993
